draft_window,prompt_count,total_proposed_tokens,total_accepted_tokens,total_rejected_tokens,total_windows,weighted_accept_rate,mean_prompt_accept_rate,accepted_tokens_per_window,total_elapsed_s
1,5,160,122,38,160,0.7625,0.7625,0.7625,10.211
2,5,182,122,60,92,0.6703,0.6734,1.3261,5.637
4,5,236,122,114,61,0.5169,0.5258,2.0,5.109
8,5,359,122,237,47,0.3398,0.37,2.5957,6.315
