draft_window,prompt_count,total_proposed_tokens,total_accepted_tokens,total_rejected_tokens,total_windows,weighted_accept_rate,mean_prompt_accept_rate,accepted_tokens_per_window,total_elapsed_s
1,3,66,39,27,66,0.5909,0.5741,0.5909,4.418
2,3,86,39,47,44,0.4535,0.4545,0.8864,2.971
4,3,131,39,92,35,0.2977,0.3152,1.1143,3.231
8,3,206,39,167,29,0.1893,0.2134,1.3448,4.069
